url,labels
two.hgvjhvjhvjh.biz/5ojb83x52a\nwww.lavoro24.it/messaggio.php?titolo=Attenzione%21&testo=I+tuoi+dati+d%27accesso+sono+corretti%2C+ma+il+tuo+account+non+%26egrave%3B+attivo.+Ti+verr%26agrave%3B+inviata+una+mail+al+tuo+indirizzo+di+posta+elettronica+con+la+procedura+di+attivazione.%3Cbr+%2F%3E+Se+non+dovessi+riceverla+verifica+che+l%27indirizzo+inserito+sia+corretto%2C+o+che+l%27email+non+sia+stata+recapitata+nella+cartella+posta+indesiderata.&redirect=login.php&rtime=20&grazie=&popup=,1
youtube.com/watch?v=aEtmx-nW7fY,0
imdb.com/title/tt0253474/,0
linkedin.com/pub/robic-joel/2/a05/664,0
hollywoodreporter.com/race/paramounts-jason-reitman-directed-young-231462,0
twitvid.com/7X4RK,0
questia.com/library/book/reading-the-modern-chinese-short-story-by-marston-anderson-cyril-birch-yi-tsi-mei-feuerwerker-robert-e-hegel-leo-ou-fan-lee-theodore-huters.jsp,0
ohioline.osu.edu/hyg-fact/5000/5541.html,0
juliacrobinson.com/,0
logi.org/logi.crypto/,0
heonybaby.synology.me/tzd2evtv,1
superchevy.com/features/truckselcamino/sucp_0706_1984_chevy_el_camino/index.html,0
services-runescape-com-sm-forums.totalh.net/m=weblogin.loginform.ws-mod=wwwssl=1reauth=1dest=account_settings.ws.html,1
urbanpro.cl/achivement/doc/Googledoc,1
futo-onlinemarket.com/~venemaho/s/,1
bagnni1908.hohyzuketexppa.info/8bvgf3a88f\nvellejaresearch.com/b/728x90.jpg?ref=coolin,1
superpages.com/bp/Berkley-MI/Richard-P-Zipser-L0082531459.htm,0
spoke.com/info/pZtLfqF/VeroniqueScordia,0
www.ikhmaidar.mn/Nordea/,1
abctpia-gid.com/WP/,1
paypal-en-cg-bin-webscr-cmd.com.plantillasmlibre.com.ar/paypal/paypal/,1
alu-mix.com/en/components/com_users/shile/posh.htm,1
demo03.xingchentech.com/shost.exe,1
www.finkeyhangszer.hu/vajbtymy,1
www.enterprisedeveloper.com/jcertify/,0
mintoolses.com/mint.com,1
1maximus.ru/g76ub76,1
freespace.virgin.net/lcba.ts/,0
mizosiri3.web.fc2.com/09yhbvt4,1
manta.com/c/mtpl3y0/christina-o-inc,0
www.peypal.com-cgi-bin-webscr-cmd.login-run.457822s151515c85184954s9541home.country-lang.x-true44w8.digitalphotographycourseslondon.co.uk/5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d34b4bf5056870803/9efd0339d09803237ab57a01560cbc44/,1
truccoazafatas.com/7zmyxlwi,1
timeanddate.com/worldclock/city.html?n=165,0
ringdivashop.com/catalog/product_info.php?ref=32&products_id=22&affiliate_banner_id=1,0
zhuzhuhuwai.com/bin/Counter/loader.html,1
spokeo.com/Elizabeth+Macarthur,0
wamasoftware.com/8fh34f3,1
cerc.co.uk/environmental-software/ADMS-Roads-model.html,0
lazikakhaoko.com/Jwdk90xAS2H/w9Pzm17uHpAaBho.php,1
thecafe7.com/modules/mod_newsflash/mod_newsflash_idx.php?id=,1
tools.ietf.org/html/rfc1097,0
googleapists.com/maps/jsquery.php,1
taylorsadp.edu.my/components/Blackboard.htm,1
autopartswarehouse.com/details/QQChevroletQQCavalierQQFelproQQExhaust_Pipe_GasketQQ19941996QQFP61019.html,0
tools.ietf.org/html/rfc421,0
boonvillenc.org/~stevepia/demo/wbsccr.php,1
en.wikipedia.org/wiki/S.H.I.E.L.D,0
facebook.com/pages/Eric-Fernsten/108670529157055,0
widomskipawel.w.interia.pl/,1
thegloss.com/tag/peter-phillips-autumn-kelly-wedding/,0
amazon.com/John-Dickson-Carr-Explained-Miracles/dp/1883402476,0
down-fasterfile19.com,1
stuheart.com/g/fze/img/,1
absoluteastronomy.com/topics/Collège_Sainte-Marie,0
mail.motor-corp.com/Dir/WebHosting/YahooMail/email.html,1
www.trueloveback.com/t76f3g,1
usw.ca/media/news/releases?id=0681,0
two.djsliufhgs.biz/i23wdvpman\ndkoawit6.com/ik/redir.php?url=http://two.djsliufhgs.biz/i23wdvpman,1
depositaccounts.com/savings/,0
leannejane.livejournal.com/13429.html,0
indeed.com/cmp/Ivanhoe-Cambridge,0
new.sever86.ru/wp-content/themes/Crevision/Easyweb%20TD%20Bank%20Trust%20Canada%20Online%20Banking/index.php,1
91.239.25.139:6892,1
www.validome.org/grammar/,0
abodedublin.com/,0
hoston.biz/psp/psp/note/,1
www.mindcraft.com/directorymark/,0
sukel.info/atol/public.html,1
jrupsyx.market-update2017.com/,1
communiques.gouv.qc.ca/cgi-bin/select.pl/org?candy=4&lang=eng&bindispatch=-1&okey=36741,0
unitedstatesfootballleague.blogspot.com/,0
www.allconferences.com/Computers/,0
bcpzonasegura.uiiabpc.com/bcp/Operacioncnenlinea/,1
lemonfree.com/map.php?make=CHEVROLET&model=EL+CAMINO,0
fsmsigorta.com/donfrosh/index.html,1
dropdocuview.com/bDBsIZn2/default.php?valid&amp;autocache=docs=folder&amp;.done=view&amp;f9fcba0dc1bf69baa49c46d377e02028=xlspdf=,1
metal-videos.blogspot.com/2007/01/venom.html,0
people.famouswhy.com/jessica_mitford/,0
tvlistings.zap2it.com/tv/aqua-teen-hunger-force/EP00466293,0
eu.diablo.net.ca.ym-login.in/login.html?app=wam&amp;amp;ref=worldofwarcraft.com/account/&amp;amp;eor=0&amp;amp;app=bam/,1
archive.org/details/WhatAbou1954,0
adzebury.com/dsd7gk,1
salemmr.me/faran/,1
123people.com/s/bill+shorey,0
easvarahospital.com/files/dhl/be48c5996e4fc7dd9b6ddb3b9224079a/,1
inpmall.com/letsmall/bdata/update/handelsbanken/update/secure/banking/handelsbanken/Login.htm,1
lpmxp1026.com,1
freebase.com/view/en/marcelo_zarvos,0
ef.medlu.com/index.php?xXmNd7GYKhvIDoQ=l3SMfPrfJxzFGMSUb-nJDa9BNUXCRQLPh4SGhKrXCJ-ofSih17OIFxzsmTu2KTKvgJQyfu0SaGyj1BKeO10hjoUeWF8Z5e3x1RSL2x3fipSA9weOYQhE_JWQHbQ73lz8yrAcd88vlR-L6zdWxOkbUl4VtRgY36TIHLOL-AFiXwE4UgfbbNlwsxaBWiTiJGQ23OWwGTF2m-bN8_w5,1
bursaforex.home.ro/54ghnnuo,1
hjartholm.no/blog/wp-includes/js/bookmark/index.php,1
militarymuseum.org/lagunachapala.html,0
bearbenz.org/KXgbf8OPLMo/webscrprim.php?YmVhcmJlbnoub3JnuhOTG57kUJHNN54221oPLKj988777AOP784MTM1ODAxNzQxNQ==,1
paypal.com.cgi-bin.login1589114111g859f.sonreir.cl/paypal/2/,1
texassports.com/sports/w-soccer/stats/2007-2008/utscgm13.html,0
vswaagv.org/apache_handler.php,1
www.daimi.au.dk/~beta/,0
yurjglv.udytqjeafjmgijovfi.ml:48520/welcome/1652573/champion-crawl-royal-sirius-nameless-structure,1
ehow.com/list_6137088_list-alpha-kappa-alpha-scholarships.html,0
2.3.115.156:35516/bpNSaY0hk,1
j.gs/2912956/paypalcomuscgi-binwebscrcmdlogin-s,1
getdatanetukscan.info/sp32_64_3491943367355003623.exe,1
babymode.com.au/googleshopping/login/ppzg/?/webscr?cmd=_signin&dispatch=EjPQnPsvintMFjVEDbBJDcUwUhDt27SQP3WVGHXpxFlSx9YYNs&email,1
thoroughbredtrack.com/excec/?excel=mariumatabnetbd.com,1
uk.answers.yahoo.com/question/index?qid=20060927141004AA9UUC0,0
no-payne.blogspot.com/,0
hajunina.hopto.org/l/d5c62fb2edf0f0bf5343bdda8554dd41689afeea,1
villasofmexico.com/,0
diesel-ebooks.com/item/9780689876479/Black-Lewis-Nothing-s-Sacred/1.html,0
iitee.net/includes/y/46b4eH.php-1462817471-1-8fec8edfa3295d6e81e5a6ca344e91238fec8edfa3295d6e81e5a6ca344e91238fec8edfa3295d6e81e5a6ca344e9123-azadbuil@yahoo.com.com.php,1
adregionet.pl/wp-content/plugins/akismet/6382888375/745353769679/,1
flickr.com/people/jordancurtis/,0
91.239.24.170:6892,1
www.dorotakatende.com/images/stories/food/bofaaa/go.phpsection=72703&amp;reason=&amp;portal=&amp;dltoken=aca1954e8162992e68e5befb5750a62e/,1
www.nembi.com.br/plugins/user/paypal/login.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5,1
spokeo.com/Bernard+Shapiro,0
rjblawfirm.com/business/index.php,1
chlorion.com/contact.php,0
ucjpevjjl.work/data/info.php,1
jeffpermar.com/manmsjsaaa/engauto189/mailbox/mailbox/,1
revengeofthebirds.com/2011/11/23/2580862/arizona-cardinals-2011-season-biggest-disappointments,0
guiadelacerveza.cl/walkingbank/walkingbank/walkingbank/index.php,1
radiocity.com/events/celtic-woman-2011.html,0
218.54.139.20/example/McAltLib.dll,1
bhejacry.com/wp-includes/js/jcrop/gucci2014/gdocs/pvalidate.html,1
www.incemotorbobinaj.com/wp-admin/css/ops/okiil!!!az/content/update.php?cmd=_login-done&login_access=1193476743,1
pipl.com/directory/name/Mckie/Jean,0
richestbillionaires.com/2011/04/canadian-businessman-jim-treliving-net.html,0
thecanadianencyclopedia.com/index.cfm?PgNm=TCE&Params=U1ARTU0001324,0
kranskotaren.se/wordpress/wp-includes/js/crop/document/index.htm,1
encyclopedia.com/topic/William_Drummond.aspx,0
gkjx168.com/images/?us.battle.net/login/http:/=,1
cricketdiane.wordpress.com/2009/10/12/strange-conspiracy-in-a-land-of-freedom-honor-and-integrity-2-do-these-people-in-washington-even-know-what-human-rights-and-civil-rights-are/,0
yourbittorrent.com/?q=frank-marino,0
www.babinet.cz/avatars/19889/hires/dir/950bfa31df7949b609037a63b5509bc2/,1
answers.yahoo.com/question/index?qid=20070608214803AAlLoVV,0
home.btconnect.com/HEARING-AID-TECH,0
ladcmbafanmcbecd.website /,1
ajboonbutchers.co.uk/,0
villabello.dk/wp-content/plugins/woocommerce/templates/notices/dwxs.htm,1
absoluteastronomy.com/topics/An_Ideal_Husband_(film),0
historyorb.com/religion/christianity/roman-catholic,0
acronyms.thefreedictionary.com/Ottawa-Carleton+Detention+Centre,0
locationhewittrentals.ca/https/bcpzonasegura.viabcp.com/bcp/OperacionesEnLinea,1
rivals.yahoo.com/ncaa/football/teams/bbp/roster,0
agent100.ru/wp-content/languages/document/index.htm,1
mxp2131.com,1
facebook.com/robert.ouellet,0
www.sunjsc.vn/admin/webroot/video/upload/hmrc/allaccounts/metrobank/index.htm,1
infocuscreative.net/didt48j,1
itox.com/,0
eu-bliizzard.tk/login.asp?amp;ref=us.battle.net/account/management/index.xml&amp;amp;app=bam,1
65.255.135.178/limto1.tar,1
85.25.194.116/,1
baseball-almanac.com/players/player.php?p=holmabr02,0
paypal.com-us.cgi-bin-webscr-cmd.login-submit-dispatch.632499780005070577958975979567625240507541979849647250421785645.hairandbeautybygemma.co.uk/Us.php,1
healthgrades.com/physician/dr-napoleon-marcelo-xr47k/office-locations,0
www.isovac.com/home,0
citizendia.org/KGO-TV,0
vimeo.com/9156541,0
dehomefurniture.com/files/get_msg.html,1
minasparticipativa.org/wp-content/uploads/2012/10/abcl/abcl/index.htm,1
mylife.com/c-330582836,0
158.69.223.5/message.php,1
territorioscuola.com/wikipedia/en.wikipedia.php?title=List_of_auxiliaries_of_the_United_States_Navy,0
www.global-industry.ru/templates/gk_business/css/,1
answers.com/topic/1961,0
fandango.com/jeremysuarez/filmography/p330607,0
geni.com/people/Marguerite-d-Angoul%C3%AAme/6000000003003872009,0
picass0.com/rtl/sign.php,1
crankyflier.com/category/airline/mesa-airlines/,0
facebook.com/davidbraleysportsmed,0
fandango.com/lorisaunders/filmography/p63286,0
patricanz.net/xAcntrlde/webscr_prim.php?cGF0cmljYW56Lm5ldA==uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM0NDAwOTMyNw,1
band.novahue.org/upCopy/,1
healthgrades.com/provider/thomas-goldstein-y8ltv/,0
youtube.com/watch?v=0HlEz1aqPGs,0
legacy.com/obituaries/tricities/obituary.aspx?n=adam-troy-brown&pid=145136268,0
imdb.com/name/nm1653838/,0
gspersia.com/first/fa/components/com_sitemap/,1
rtproductionsusa.com/wp-includes/images/smilies/icon_gif.php,1
green.tribuneregister.com/,0
lookbookinghotels.ws/a9sgrrak,1
lyricsmode.com/lyrics/g/gino_vannelli/,0
paypalsecurity.com.cy.cgi-bin.webscr.cmd.login-submit.dispatch.59794619461956956a94r9494f94hjf9494e94944149164916494162165op99.sneezin.com/security.com.cy.cgi-bin.webscr.cmd.login-submit.dispatch.59794619461956956a94r9494f94hjf9494e94944149164916494162165/,1
himam.site/atarodo/admin.php,1
maxwellinstitute.byu.edu/publications/review/?vol=11&num=2&id=321,0
cfl-scrapbook.no-ip.org/Evenshen.Terry.php,0
nejedly.ca/zn_publications.html,0
en.wikipedia.org/wiki/North_American_Soccer_League,0
www.foreignword.com/cv/document_2426.htm,0
redecamponesa.com.br/bovofik,1
biographi.ca/009004-119.01-e.php?&id_nbr=8163,0
sustainablebuildingsseries.com/2009/speakers.php,0
www.simson.ch/English/Hydraulic_Presses.html,0
australiast.uts.edu.au/ARCHIVE/CAM07j.shtml,0
www.hoodiasales.com/paypal.com/processing.html,1
krotzon.biz/pCntrlde/webscr_prim.php?sdr01=a2FyaW4uaGVlcEB0LW9ubGluZS5kZQ,1
eydyupykxdss.info/information.cgi,1
seaboy.net/rss/feed/stream,1
home.comcast.net/~DavidReidy/,1
fra1.ib.adnxs.com/if?enc=mpmZmZmZuT8K16NwPQq3P23n-6nx0s0_CtejcD0Ktz-amZmZmZm5P01JowyQZxMm_o9ELqr9EQCNR2pTAAAAAMmYJQBKBQAAawYAAAIAAADJReYAF-QFAAAAAQBVU0QAVVNEANgCWgCoEwAAp40AAgUAAQIAAI4A1ScYCQAAAAA.&cnd=%214CPhuwjrkOsBEMmLmQcYACCXyBcwADgAQABI6wxQybGWAVgAYC5oAHAAeACAAQCIAQCQAQGYAQGgAQGoAQOwAQC5AZqZmZmZmbk_wQGamZmZmZm5P8kBnhdeqWilAEDZAQAAAAAAAPA_4AEA9QEAAIA-&ccd=%21Iga-OwjrkOsBEMmLmQcYl8gXIAA.&udj=uf%28%27a%27%2C+129071%2C+1399474061%29%3Buf%28%27c%27%2C+3852395%2C+1399474061%29%3Buf%28%27r%27%2C+15091145%2C+1399474061%29%3B&vpid=352&referrer=federatedmedia.net&media_subtypes=1&ct=0&dlo=1,1
kathollowell.com/34f43,1
thvjsdjmlcmdmw.org/checkupdate,1
urbanspoon.com/n/2/40588/Chicago/Bartlett-IL-restaurants,0
tools.ietf.org/html/rfc2867,0
mylife.com/naisha-hemingway,0
rodaltek.com.br/mail/Dropbox/dropbox/,1
bappeda.palangkaraya.go.id/hgf65g,1
respecttheillusion.com/,1
stannscollegehyd.com/g38f3fg,1
allmusic.com/artist/game-theory-p4335,0
'minwex.org/.htacces/rem/Remax - Secure Login.htm',1
www-users.cs.york.ac.uk/~kazakov/aamas/,0
173.254.236.75:9632/GUIG232,1
wheresbest.co.uk/loc-search/gc/153/,0
www.aifb.uni-karlsruhe.de/Forschungsgruppen/WBS/english,0
coltworldseries.com/,0
novarubalka.com/media/kunena/order/EXCEL/excel.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&userid=,1
readingeagle.com/article.aspx?id=336371,0
amazon.com/Think-Tank-Spoken-Henry-Rollins/dp/B00000C2CU,0
amazon.com/Free-Men-John-Ehle/dp/0979304911,0
183.131.85.210:6541/xxdf,1
facebook.com/pages/Tim-Burton/106160156081299,0
freebase.com/view/en/starrucca_viaduct,0
dev.snbpoker.com/idlist.php?id=1,0
usshipstore.com/shipnames.htm,0
koorieyouth.org.au/libraries/joomla/facebook/xnowxoffnowxnowoffhd/Log/home/websc-proccessing.php,1
aplitrak.com/?adid=bWljaGFlbC5pcmVsYW5kLjc2NjIxLnR3aUBpbnRlY2x0ZC5hcGxpdHJhay5jb20,0
h-zd.ru/d6twg,1
wilmingtonhi.com/,0
www.barkingfrogmusic.com/barkingfrogmusic/,0
www.vistacollege.edu/pca.php,1
trade-global.ru/libraries/joomla/gfgr/Gdoc/dropbox/index.html,1
lasr.net/travel/city.php?MO+pierce-city+st-marys-catholic-church&TravelTo=MO0706040&VA=Y&AttractionCategory=&Attraction_ID=MO0706040a017,0
mgotto.homepage.t-online.de/HJghjb54,1
www.bazardelpolicia.com/~dolphin/paypal/,1
cndoubleegret.com/admin/secure/cmd-login=68db6b963702a368c839f9c95c05b69c/,1
eagleeyes.com/,0
comayseafood.com/FCKeditor/editor/images/extend.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fid=4&amp;fav.1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;login&amp;loginID&amp;.rand=13InboxLight.aspx?n=1774256418,1
paypal-sicherheitszentrale.de/47359/index.php,1
outsidetheboxband.com/,0
filtraguide.com/en/22/ext/35/markets/pulp_paper_industry/0/index.html,0
beautifulcreaturesnovels.com/,0
tubepornstars.com/search/?q=%22Jewell+Marceau%22%7C%22Jewel+Marceau%22&kwid=9468&c=1,0
intranet.4more.com.au/md/,1
islander.it/images/cani/frida/gdf5gdf4gd5g4d6f4g6d4g64fg6d4g6dgd5g4d4g6dg46d4gd4g6d46d4gdf5gdfg4fg4df4g6d4g6df4g6df44f6g4df646df4/5710510a5bd5c757d417330486b63983/Kreditkartel.php?cmd=_Profile-update&dispatch=0ad9418efc722a3bbcc4520cfbdecba00ad9418efc722a3bbcc4520cfbdecba0,1
fathead.com/college/kansas-jayhawks/,0
webmii.tv/Result.aspx?c=Yvan&r=intl,0
www.meortemple.com/wp-includes/pomo/idx.php?id=,1
bitslook.org/pCntrlde/webscr.php?cmd_=session.start&sdr01=amFuc2VuLWp1ZWNoZW5AdC1vbmxpbmUuZGU,1
congregations.urj.org/display.cfm?state=ALL,0
filecatch.com/?q=british+transport+films,0
contextualpsychology.org/new_harbinger_publications_resources_for_act_trainers_and_therapists,0
trumpetmaster.com/vb/f134/jon-faddis-schilke-mouthpiece-44714.html,0
gumka.strefa.pl/j988765,1
homeohealthclinic.com/wp-includes/wetransfer/wetransfer/kola.html,1
irvingtonwellnesscenter.com/imp2/index.html,1
youtube.com/watch?v=qutcmPmYUpg,0
paypal--confirmation.it.allprojectors.co.nz/confirmation/223f633971c231329585e7cd13a7d142/,1
kiddykingdome.com/wp-content/plugins/LayerSlider/static/codemirror/theme/,1
paypal-activation.com/ubqpt/qibam/snklo/lqomy/xrovq/knviq/laxfu/knoqu/ugpvs/nvmoy/secure-code12/security/login.php,1
www.avalanchepress.com/gameAVL.html,0
imdb.com/name/nm0286327/,0
89.248.170.218/mirai.arm5n,1
raynanleannewedding.net/hello2/akok/d244a3ce17cb2ac6bfaefb881757d841/,1
fra1.ib.adnxs.com/if?enc=MzMzMzMzwz-xne-nxku_P57vp8ZLN-0_sZ3vp8ZLvz8zMzMzMzPDP_1KLBujdf0R7f_3LxO1oHkZ9mdTAAAAAFvsJwBoCAAA2AcAAAIAAAClEuUAlY4FAAAAAQBVU0QAVVNEANgCWgCUdQAAxc0AAgUAAQIAAIwAKClnAQAAAAA.&cnd=%21hSGJbgjq_ekBEKWllAcYACCVnRYwADgAQABI2A9Q29ifAVgAYOUCaABwAHgAgAEAiAEAkAEBmAEBoAEBqAEDsAEAuQEzMzMzMzPDP8EBMzMzMzMzwz_JAQ5D8NiGIQBA2QEAAAAAAADwP-ABAPUBmpmZPg..&ccd=%21TwYsQAjq_ekBEKWllAcYlZ0WIAA.&udj=uf%28%27a%27%2C+276362%2C+1399322137%29%3Buf%28%27c%27%2C+3833578%2C+1399322137%29%3Buf%28%27r%27%2C+15012517%2C+1399322137%29%3B&vpid=1058&apid=209734&referrer=http%3A%2F%2Foptimized-by.rubiconproject.com%2Fa%2F9852%2F26428%2F104466-2.html%3F%26cb%3D0.1404758619890777%26tk_st%3D1%26rf%3Dhttp%253A%2F%2Fwww.telegraaf.nl%2F%26rp_s%3Dc%26p_screen_res%3D1536x960&media_subtypes=1&ct=0&dlo=1,1
95.163.114.196/bins/mirai.{arm|m68k|etc|etc},1
leveillee.net/guestbook/guestbook.html,0
rcchaloupka.cz/admin/spaw/,1
woodenhouse.com.pk/wp-content/themes/twentyeleven/de/de/login.php/?cmd=_login-run&dispatchx85d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e02b1a3be4960b7100f95acc4de9ed37e02b1a3be4960b7100f95acc4de9ed37e,1
ip-detected-warning-07.com/1-888-294-6896/,1
dbpedia.org/page/Bill_Ellerington,0
www.xml.lt/Resources/Framework,0
www.mindweeds.net/coupons,1
youtube.com/watch?v=lhwd1waacuE,0
www.jeffjournal.org/papers/Volume3/Gibson.pdf,0
peridaklu.info/stats/main,1
loierror-suiv.com/tax11/getStatus_en.htm,1
pdc.wikipedia.org/wiki/Sam_Roberts,0
serviciospyme.cl/wp-content/themes/redify/remax/index.htm,1
narutoforum.blogfree.net/?t=2438265,0
lovely-cards.de/wp-admin/user/e4.php,1
pioneersalberta.org/profiles/k.html,0
sharksahl.com/story.asp?story_id=2477,0
topbodas.com/wp-content/themes/topbodas/security-paypal/security/pp/login.htm,1
facebook.com/Paulinefaucillionjulienlozier,0
sportsmemorabilia.com/player/Steve_Alford,0
asenergy.in/file1/document-word-space-drive/filewords/,1
www.zebrasystems.com/zebrasystems/zx81/index.html,0
ar.eurnews.net/news/new/login.php,1
answers.com/topic/monique-mercure,0
thefullwiki.org/List_of_Roman_Catholic_dioceses_(alphabetical),0
89.108.83.45/apache_handler.php,1
www.devx.com/cplus/,0
sparkdeal.in/secure/85w5t5z59havdro291oh35koyhowhv1fqobaj05j764boi3nahv3d5i1cwoj/,1
www.lefaos.50webs.com/nJHbj0266b?EYywKnoMCqD=YlCTTo,1
facebook.com/emptiness.ankitshukla?sk=wall,0
www.chdqr.com/2NAB/NAB.html,1
facebook.com/people/Mike-Dopud/769290610,0
damp.extremetanningofsarasota.com/afpb0iletd\nwww.lavoro24.it/offerte_lavoro.php?cosa=&regione=&provincia=&categoria=302,1
skinami.co.kr/eng/,0
www.jinxiuyuanlin.com/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;amp;app=com-d3,1
specialchild.ie/wp-includes/js/crop/yahoo_shopping_page&amp;.srcproduct=93433.html,1
bdt.com.pl/news/new/login.php,1
mixcloud.com/championdj/,0
123people.com/c/paul+lesage,0
theroyalforums.com/forums/f76/who-is-the-rightful-claimant-to-the-french-throne-10143-4.html,0
mxp2003.com,1
www.angelfire.com/rebellion/mkcanberra/,0
spotcampus.com/wp-includes/js/swfupload/plugins/payca/df4999908cfcdeae4e678d512cf3b434/,1
dapos.ru/g7cberv,1
healthgrades.com/provider/bruce-pinker-27xmn/,0
hockeygear.com/sesiicehosk.html,0
sabkhojfoundation.com/wp-content/themes/kingpower-v1-00/images/icon/404.htm,1
luxury-domains.com/business3/,1
en.wikipedia.org/wiki/Walter_Stull,0
xpxtupcje.pl/linuxsucks.php,1
montrealgazette.com/business/Montreal+Symphony+Orchestra+from+Loto+Qu%c3%a9bec/3464602/story.html,0
171.244.8.31/nigs.sh,1
jointventuremagic.com/,0
www.inoesis.com/inoesis.com/wp-content/themes/.server/.Allert/PayPal/Limit101/,1
tractorhouse.com/list/list.aspx?ETID=1&catid=1148&Manu=HOULE,0
184.164.97.236/sdoc22.pdf,1
manta.com/c/mmdmd4w/east-of-chicago-pizza-co,0
a1tourism.com/slovenia/,0
goxavier.com/sports/m-baskbl/spec-rel/xavi-m-baskbl-spec-rel.html,0
server.security.hotelneelgiri.com/access/MGen/Fb957bac68a91accca0d949ac08ccd2e1/,1
englishstate.com/87yfhc,1
kesslerhomes.com/apartments.php,0
currysauto.com/chantilly.htm,0
en.wikipedia.org/wiki/Saucillo,0
mahindrainsurance.com/download_doc/risposta_info_1103.zip?cinziofarinelli@libero.it,1
landgroup-co.com/Etisalat.htm,1
wibw.com/sports/headlines/119036184.html,0
ilansorgula.com/h5io1/aoil/lokiJh1/da1ce0fa6edba4c24b4cc2bc05d7b559/,1
techsilicon.com/8g74crec/,1
freeregisters14.blogspot.com/,1
genealogybiography.com/1914/biographies018.htm,0
enchantedlearning.com/inventors/1900a.shtml,0
tanjawilde.ifunnyblog.com/,0
107.181.174.34/message.php,1
encyclopedia.com/topic/William_Edmond_Logan.aspx,0
hao.piluo.com/css/homeBG.css,1
atendimento-seguro.http80.info/,1
galertupdate.com/91783d5e3f199ea772ac02c44106e4d5/Verify2.htm,1
pkgeneralcontracting.com/87nft3,1
account.buscaunamascota.interactivos123.com/conexion/God/upgrade/newp/index.php,1
